,_id,ico_phase_ended,ind_coinmarketcap,ind_cryptocompare,ind_cryptowatch,ind_ravneeticoprice,name
1496,5b40605c57c41002aa12df72,1,0,0,0,0,Decentralized ID
2218,5b40605c57c41002aa12e244,1,0,0,0,0,Decentralized Loan Collateral
1297,5b40605c57c41002aa12deab,1,0,0,0,0,Decentralized News Network
1756,5b40605c57c41002aa12e076,1,0,0,0,0,Decentralized arbitration
2082,5b40605c57c41002aa12e1bc,1,0,0,0,0,Deckswap
829,5b40605c57c41002aa12dcd7,1,0,0,0,0,Deco
106,5b40605c57c41002aa12da04,1,0,0,0,0,Deedcoin
2328,5b40605c57c41002aa12e2b2,1,0,0,0,0,Deep
1116,5b40605c57c41002aa12ddf6,1,0,0,0,0,DeepWater
1257,5b40605c57c41002aa12de83,1,0,1,0,0,Denaro
2201,5b40605c57c41002aa12e233,1,1,1,1,0,Dentacoin
752,5b40605c57c41002aa12dc8a,1,0,0,0,0,DeskBell Chain
2459,5b40605c57c41002aa12e335,1,0,1,0,0,DetectorToken
682,5b40605c57c41002aa12dc44,1,0,0,0,0,Develop[crypto]
1163,5b40605c57c41002aa12de25,1,0,0,0,0,Devnetwork
2370,5b40605c57c41002aa12e2dc,1,0,0,0,0,Diamond Reserve Club
743,5b40605c57c41002aa12dc81,1,0,0,0,0,Diamond project
2432,5b40605c57c41002aa12e31a,1,0,0,0,0,DiceyBit
2304,5b40605c57c41002aa12e29a,1,0,0,0,0,Digi Token 
2240,5b40605c57c41002aa12e25a,1,1,1,0,0,DigiPulse
1658,5b40605c57c41002aa12e014,1,0,0,0,0,Digigold
1737,5b40605c57c41002aa12e063,1,0,0,0,0,DigitX
2554,5b40605d57c41002aa12e394,1,0,1,0,0,Digital Developers Fund
1915,5b40605c57c41002aa12e115,1,0,0,0,0,Digital Funds 
746,5b40605c57c41002aa12dc84,1,0,0,0,0,Digital Ticks
970,5b40605c57c41002aa12dd64,1,0,0,0,0,Digital Way
1475,5b40605c57c41002aa12df5d,1,0,0,0,0,Digitex Futures Exchange
587,5b40605c57c41002aa12dbe5,1,0,0,0,0,Digitize
1423,5b40605c57c41002aa12df29,1,0,0,0,0,Dimensions Network
1916,5b40605c57c41002aa12e116,1,0,0,0,0,Dimon Coin
276,5b40605c57c41002aa12daae,0,0,0,0,0,Disciplina
2105,5b40605c57c41002aa12e1d3,1,0,0,0,0,DivM Group
1952,5b40605c57c41002aa12e13a,1,0,0,0,0,Divi Project
1287,5b40605c57c41002aa12dea1,1,0,1,0,0,Doc Coin
1062,5b40605c57c41002aa12ddc0,1,0,0,0,0,DocTailor
1313,5b40605c57c41002aa12debb,1,1,0,0,0,Dock
337,5b40605c57c41002aa12daeb,0,0,0,0,0,Doctor Smart
298,5b40605c57c41002aa12dac4,0,0,0,0,0,Documo
1948,5b40605c57c41002aa12e136,1,0,0,0,0,Doft
1306,5b40605c57c41002aa12deb4,1,0,0,0,0,Dogezer
1113,5b40605c57c41002aa12ddf3,1,0,0,0,0,Dolos
2360,5b40605c57c41002aa12e2d2,1,1,1,1,0,DomRaider
794,5b40605c57c41002aa12dcb4,1,0,0,0,0,DomaniSystems
2197,5b40605c57c41002aa12e22f,1,0,0,0,0,Dome Platform
810,5b40605c57c41002aa12dcc4,1,0,0,0,0,Dome Venture
2092,5b40605c57c41002aa12e1c6,1,0,0,0,0,Domineum
1127,5b40605c57c41002aa12de01,1,0,0,0,0,DomusCoins
706,5b40605c57c41002aa12dc5c,1,0,0,0,0,Doncoin
1214,5b40605c57c41002aa12de58,1,0,0,0,0,Dopameme
1040,5b40605c57c41002aa12ddaa,1,0,0,0,0,DracarysCoin
1378,5b40605c57c41002aa12defc,1,0,0,0,0,Dragon Inc
2198,5b40605c57c41002aa12e230,1,1,1,0,0,Dragonchain
502,5b40605c57c41002aa12db90,0,0,0,0,0,Dragonglass
704,5b40605c57c41002aa12dc5a,1,0,0,0,0,DreamTeam
1736,5b40605c57c41002aa12e062,1,0,0,0,0,DreamToken
1087,5b40605c57c41002aa12ddd9,1,0,0,0,0,Driiven
690,5b40605c57c41002aa12dc4c,1,0,0,0,0,Drivero 
