,close_date,close_date
,min,max
name,,
Hedge Token,2017-11-29,2018-07-08
Helbiz,2018-05-21,2018-07-08
HireMatch,2018-02-07,2018-07-08
Hive Project,2017-09-05,2018-07-08
Holo,2018-06-04,2018-07-08
Humaniq,2017-05-10,2018-07-08
Hurify,2018-06-12,2018-07-08
ICON,2018-07-06,2018-07-06
ICONOMI,2018-07-06,2018-07-06
ICOS,2018-07-06,2018-07-06
ILCoin,2017-05-10,2018-07-08
IMMLA,2017-07-18,2018-07-08
INS Ecosystem,2018-01-18,2018-07-08
Incent,2017-02-13,2018-07-08
Indicoin,2018-07-06,2018-07-06
Influence Chain,2018-07-06,2018-07-06
Internxt,2018-01-18,2018-07-08
Jibrel Network,2018-07-06,2018-07-06
Karma,2018-07-06,2018-07-08
Komodo,2017-02-03,2018-07-08
LAToken,2018-07-06,2018-07-06
LOYALCOIN,2018-07-06,2018-07-06
Labrys,2014-12-02,2018-07-08
Lamden,2018-07-06,2018-07-06
Lampix,2017-09-19,2018-07-08
Landcoin,2018-07-06,2018-07-06
LeadCoin,2018-06-11,2018-07-08
Lendingblock,2018-05-22,2018-07-08
Leverj,2017-12-13,2018-07-08
Linker Coin,2018-06-01,2018-07-08
Live Stars,2018-05-29,2018-07-08
Lunyr,2017-04-30,2018-07-08
LuxCoin,2018-07-06,2018-07-06
Lykke,2017-10-10,2018-07-08
Lympo,2018-04-10,2018-07-08
MONETHA,2018-07-06,2018-07-06
Matryx,2017-12-03,2018-07-08
MediBloc,2018-01-17,2018-07-08
Medicalchain,2018-02-12,2018-07-08
Merculet,2018-07-06,2018-07-06
MicroMoney,2017-11-24,2018-07-08
MilkCoin,2017-11-02,2018-07-08
MobileGo,2017-06-13,2018-07-08
Mobius,2018-02-20,2018-07-08
ModulTrade,2018-04-18,2018-07-08
Modum,2017-11-08,2018-07-08
Morpheus Network,2018-06-01,2018-07-08
MyBit,2017-07-05,2018-07-08
NEVERDIE,2018-07-06,2018-07-06
NEXUS,2018-07-06,2018-07-06
NITRO,2018-07-05,2018-07-08
Naga,2018-07-06,2018-07-06
NapoleonX,2018-07-06,2018-07-06
Naviaddress,2018-07-06,2018-07-06
Neblio,2017-09-11,2018-07-08
Node,2015-01-26,2018-07-08
OmiseGO,2018-07-06,2018-07-06
On.Live,2018-06-06,2018-07-08
OriginTrail,2018-01-24,2018-07-08
PARAGON,2018-07-06,2018-07-06
PARKGENE,2018-07-06,2018-07-06
PATRON,2018-05-24,2018-07-08
PAYFAIR,2018-07-06,2018-07-06
PHI Token,2018-06-12,2018-07-08
PLAYKEY,2018-07-06,2018-07-06
PayPie,2017-10-10,2018-07-08
Paymon,2018-06-11,2018-07-08
Peculium,2018-05-11,2018-07-08
Peerguess,2018-01-17,2018-07-08
PikcioChain,2018-07-06,2018-07-06
Pillar,2017-07-06,2018-07-08
Po.et,2017-09-01,2018-07-08
